Query_SMILES	Query_ID	Analogues_SMILES	Analogues_ID	MGT_layer	ChemicalSpace	maccs	pharm2d
Brc1cnccn1	mol_ID_31	C#Cc1cnccn1	mol_ID_63	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.71	1.00
Ic1c[nH]cn1	mol_ID_32	Brc1ncc[nH]1	mol_ID_8	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.85	0.67
Ic1c[nH]cn1	mol_ID_32	Brc1c[nH]cn1	mol_ID_16	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.89	1.00
Ic1c[nH]cn1	mol_ID_32	Ic1ncc[nH]1	mol_ID_24	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.95	0.67
Ic1c[nH]cn1	mol_ID_32	Ic1c[nH]cn1	mol_ID_32	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Ic1c[nH]cn1	mol_ID_32	Clc1c[nH]cn1	mol_ID_53	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.89	1.00
Ic1c[nH]cn1	mol_ID_32	C=Cc1cnc[nH]1	mol_ID_64	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.70	0.71
Ic1c[nH]cn1	mol_ID_32	Clc1ncc[nH]1	mol_ID_71	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.85	0.67
Ic1cn[nH]c1	mol_ID_33	Clc1cn[nH]c1	mol_ID_9	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.90	1.00
Ic1cn[nH]c1	mol_ID_33	C#Cc1cn[nH]c1	mol_ID_10	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.76	1.00
Ic1cn[nH]c1	mol_ID_33	Brc1cn[nH]c1	mol_ID_17	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.90	1.00
Ic1cn[nH]c1	mol_ID_33	C#Cc1ccn[nH]1	mol_ID_18	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.73	0.67
Ic1cn[nH]c1	mol_ID_33	Brc1ccn[nH]1	mol_ID_25	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.86	0.67
Ic1cn[nH]c1	mol_ID_33	Ic1cn[nH]c1	mol_ID_33	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Ic1cn[nH]c1	mol_ID_33	Ic1ccn[nH]1	mol_ID_41	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.95	0.67
Ic1cn[nH]c1	mol_ID_33	C=Cc1cn[nH]c1	mol_ID_65	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.73	1.00
Ic1cn[nH]c1	mol_ID_33	C=Cc1ccn[nH]1	mol_ID_73	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.70	0.67
N#Cc1ncco1	mol_ID_34	N#Cc1ncco1	mol_ID_34	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
N#Cc1ncco1	mol_ID_34	N#Cc1nccs1	mol_ID_67	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.57	1.00
Clc1nc2ccccc2s1	mol_ID_35	Clc1nc2ccccc2s1	mol_ID_35	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Clc1nc2ccccc2s1	mol_ID_35	Clc1nc2ccccc2o1	mol_ID_87	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.66	1.00
Clc1nc2ccccc2s1	mol_ID_35	Ic1nc(-c2ccccc2)co1	mol_ID_92	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.53	0.56
Brc1cccnc1	mol_ID_36	C=Cc1cccnc1	mol_ID_3	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.57	1.00
Brc1cccnc1	mol_ID_36	Clc1cccnc1	mol_ID_12	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.85	1.00
Brc1cccnc1	mol_ID_36	C#Cc1cccnc1	mol_ID_27	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.62	1.00
Brc1cccnc1	mol_ID_36	Brc1cccnc1	mol_ID_36	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Brc1cccnc1	mol_ID_36	Brc1cncs1	mol_ID_51	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.53	0.50
Brc1cccnc1	mol_ID_36	Ic1cccnc1	mol_ID_60	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.85	1.00
C=Cc1ccncc1	mol_ID_37	Clc1ccncc1	mol_ID_20	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.57	1.00
C=Cc1ccncc1	mol_ID_37	C=Cc1ccncc1	mol_ID_37	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
C=Cc1ccncc1	mol_ID_37	Brc1ccncc1	mol_ID_44	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.57	1.00
C=Cc1ccncc1	mol_ID_37	C#Cc1ccncc1	mol_ID_61	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.73	1.00
C=Cc1ccncc1	mol_ID_37	Ic1ccncc1	mol_ID_68	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.57	1.00
Ic1cncnc1	mol_ID_38	Clc1cncnc1	mol_ID_6	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.88	1.00
Ic1cncnc1	mol_ID_38	C#Cc1cncnc1	mol_ID_15	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.71	1.00
Ic1cncnc1	mol_ID_38	Brc1cncnc1	mol_ID_22	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.88	1.00
Ic1cncnc1	mol_ID_38	Ic1cncnc1	mol_ID_38	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Ic1cncnc1	mol_ID_38	C=Cc1cncnc1	mol_ID_78	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.67	1.00
Ic1cnccn1	mol_ID_39	Clc1cnccn1	mol_ID_23	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.88	1.00
Ic1cnccn1	mol_ID_39	C=Cc1cnccn1	mol_ID_29	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.67	1.00
Ic1cnccn1	mol_ID_39	Brc1cnccn1	mol_ID_31	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.88	1.00
