Smiles	Molecule_ID	INCHIKEY	Bemis_Scaffold	Scaffold_Cluster	Framework	Framework_Cluster	Fragmented_SMILES	Ph4_features
Cc1noc(C)c1C#N	mol_ID_1	NBLIVFMKDQOTHN-UHFFFAOYSA-N	c1cnoc1	1	C1CCCC1	1	.	RAAHH
Brc1ccccn1	mol_ID_2	IMRWILPUOVGIMU-UHFFFAOYSA-N	c1ccncc1	2	C1CCCCC1	2	.	RAH
C=Cc1cccnc1	mol_ID_3	DPZYLEIWHTWHCU-UHFFFAOYSA-N	c1ccncc1	2	C1CCCCC1	2	.	RAH
Clc1ccccn1	mol_ID_4	OKDGRDCXVWSXDC-UHFFFAOYSA-N	c1ccncc1	2	C1CCCCC1	2	.	RAH
N#Cc1cccnc1	mol_ID_5	GZPHSAQLYPIAIN-UHFFFAOYSA-N	c1ccncc1	2	C1CCCCC1	2	.	RAA
Clc1cncnc1	mol_ID_6	ZLNPDTOTEVIMMY-UHFFFAOYSA-N	c1cncnc1	3	C1CCCCC1	2	.	RAAH
C#Cc1ncccn1	mol_ID_7	BMNUHRHTDNKJII-UHFFFAOYSA-N	c1cncnc1	3	C1CCCCC1	2	.	RAAH
Brc1ncc[nH]1	mol_ID_8	AXHRGVJWDJDYPO-UHFFFAOYSA-N	c1c[nH]cn1	4	C1CCCC1	1	.	RDAH
Clc1cn[nH]c1	mol_ID_9	BADSZRMNXWLUKO-UHFFFAOYSA-N	c1cn[nH]c1	5	C1CCCC1	1	.	RDAH
C#Cc1cn[nH]c1	mol_ID_10	UXZQDYUBSQMFIE-UHFFFAOYSA-N	c1cn[nH]c1	5	C1CCCC1	1	.	RDAH
C#Cc1c(C)noc1C	mol_ID_11	VRIFFHHNSRUZNX-UHFFFAOYSA-N	c1cnoc1	1	C1CCCC1	1	.	RAHHH
Clc1cccnc1	mol_ID_12	PWRBCZZQRRPXAB-UHFFFAOYSA-N	c1ccncc1	2	C1CCCCC1	2	.	RAH
N#Cc1ccncc1	mol_ID_13	GPHQHTOMRSGBNZ-UHFFFAOYSA-N	c1ccncc1	2	C1CCCCC1	2	.	RAA
Brc1ncccn1	mol_ID_14	PGFIHORVILKHIA-UHFFFAOYSA-N	c1cncnc1	3	C1CCCCC1	2	.	RAAH
C#Cc1cncnc1	mol_ID_15	GFVQKBROKWSUNG-UHFFFAOYSA-N	c1cncnc1	3	C1CCCCC1	2	.	RAAH
Brc1c[nH]cn1	mol_ID_16	FHZALEJIENDROK-UHFFFAOYSA-N	c1c[nH]cn1	4	C1CCCC1	1	.	RDAH
Brc1cn[nH]c1	mol_ID_17	WVGCPEDBFHEHEZ-UHFFFAOYSA-N	c1cn[nH]c1	5	C1CCCC1	1	.	RDAH
C#Cc1ccn[nH]1	mol_ID_18	KUOWLAMMSCRRFS-UHFFFAOYSA-N	c1cn[nH]c1	5	C1CCCC1	1	.	RDAH
C=Cc1c(C)noc1C	mol_ID_19	RYIHZFZTDJNDGM-UHFFFAOYSA-N	c1cnoc1	1	C1CCCC1	1	.	RAHHH
Clc1ccncc1	mol_ID_20	PVMNPAUTCMBOMO-UHFFFAOYSA-N	c1ccncc1	2	C1CCCCC1	2	.	RAH
C=Cc1ccccn1	mol_ID_21	KGIGUEBEKRSTEW-UHFFFAOYSA-N	c1ccncc1	2	C1CCCCC1	2	.	RAH
Brc1cncnc1	mol_ID_22	GYCPLYCTMDTEPU-UHFFFAOYSA-N	c1cncnc1	3	C1CCCCC1	2	.	RAAH
Clc1cnccn1	mol_ID_23	GELVZYOEQVJIRR-UHFFFAOYSA-N	c1cnccn1	6	C1CCCCC1	2	.	RAAH
Ic1ncc[nH]1	mol_ID_24	MHHDMDLNVVCTAJ-UHFFFAOYSA-N	c1c[nH]cn1	4	C1CCCC1	1	.	RDAH
